iter	RMSE
0	568.53636
1	542.7371744
2	517.4843091
3	493.1370176
4	470.2951961
5	448.5257402
6	427.8915575
7	408.2142758
8	389.8599201
9	372.4172023
10	355.5690066
11	339.8612521
12	324.9063612
13	310.6689261
14	297.8161388
15	284.900149
16	272.7617627
17	261.3985443
18	250.4936622
19	240.1790927
20	230.8568679
21	221.8412726
22	213.5209746
23	205.3626366
24	197.5806532
25	190.6693244
26	183.6433907
27	177.1536464
28	171.0345695
29	165.4249381
30	160.2320521
31	155.245737
32	150.5486601
33	146.1824324
34	142.0974515
35	138.3693984
36	134.8028205
37	131.3135854
38	127.8742679
39	124.9819207
40	122.0189415
41	119.1451698
42	116.7345356
43	114.4221457
44	111.9894836
45	109.9928227
46	107.6749897
47	105.9996667
48	104.1992375
49	102.8548438
50	101.3127529
51	99.84547883
52	98.62442653
53	97.23777246
54	95.98471244
55	94.49769859
56	93.18795239
57	92.05253093
58	91.07065629
59	90.3607232
60	89.73306958
61	89.09510415
62	87.99887074
63	87.34286446
64	86.31580218
65	85.13816277
66	84.26930759
67	83.45651819
68	82.56551143
69	81.78064296
70	80.92460173
71	80.25986401
72	79.77280654
73	79.11930989
74	78.7897481
75	78.15937962
76	77.24321164
77	76.72216514
78	76.0023755
79	75.4698506
80	74.85647587
81	74.28590937
82	73.69374354
83	72.77133263
84	72.33910739
85	71.69933413
86	71.10441784
87	70.54804332
88	70.04017075
89	69.55898327
90	68.75781728
91	68.59325089
92	68.08855272
93	67.67280687
94	67.14630453
95	66.68727926
96	66.14232747
97	65.47482225
98	65.00786074
99	64.56769293
100	64.24060612
101	63.8033492
102	63.43958395
103	63.04829139
104	62.52625949
105	62.12947776
106	61.79792307
107	61.50260354
108	61.15881807
109	60.93563726
110	60.72864951
111	60.40230301
112	60.04828751
113	59.59031649
114	59.4203343
115	58.97957576
116	58.65357781
117	58.20325415
118	58.01789667
119	57.79335548
120	57.45386659
121	56.97066283
122	56.62102883
123	56.33607992
124	55.90350935
125	55.30557294
126	54.98221608
127	54.7565564
128	54.45684906
129	54.1083527
130	53.84500672
131	53.49834978
132	53.30692144
133	53.03049237
134	52.68271801
135	52.54246385
136	52.41003715
137	52.33480646
138	52.18112825
139	51.94717751
140	51.90867475
141	51.43457713
142	51.08267356
143	50.68245292
144	50.44444273
145	50.09577995
146	49.99879123
147	49.76618996
148	49.39720101
149	49.20935929
150	49.00004905
151	48.80504505
152	48.65915334
153	48.33980583
154	48.02655093
155	47.70746676
156	47.39462477
157	47.19032694
158	46.98457096
159	46.7316113
160	46.56116311
161	46.36477098
162	45.91316775
163	45.80819095
164	45.63865392
165	45.51376582
166	45.15132883
167	44.97260305
168	44.68723246
169	44.56637552
170	44.34840208
171	44.06285952
172	43.73855789
173	43.61459662
174	43.27458803
175	43.13654282
176	42.92016757
177	42.77074044
178	42.62177631
179	42.38432032
